2025-03-13 20:58:41,835 | INFO | NONE | 92149 | 8264403008 | root | Log synchronization initialized: PID=92149, Host=Joshs-MacBook-Pro.local
2025-03-13 20:58:41,877 | INFO | NONE | 92149 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:58:50,256 | INFO | 92181 | 8264403008 | root | Log synchronization initialized: PID=92181, Host=Joshs-MacBook-Pro.local
2025-03-13 20:58:55,718 | INFO | 92212 | 8264403008 | repositories | Created dealership: Test Dealership 1741917535.713552 (ID: 1)
2025-03-13 20:58:55,718 | INFO | 92212 | 8264403008 | __main__ | Testing read operation...
2025-03-13 20:58:55,718 | ERROR | 92212 | 8264403008 | __main__ | Error during CRUD tests: Instance <Dealership at 0x106624f90> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:58:55,718 | ERROR | 92212 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:58:55,718 | INFO | 92212 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:59:18,792 | INFO | 92245 | 8264403008 | root | Log synchronization initialized: PID=92245, Host=Joshs-MacBook-Pro.local
2025-03-13 20:59:18,792 | INFO | 92245 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 20:59:18,799 | INFO | 92245 | 8264403008 | database | Database manager initialized
2025-03-13 20:59:18,802 | INFO | 92245 | 8264403008 | __main__ | Testing database connection...
2025-03-13 20:59:18,802 | INFO | 92245 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:59:18,803 | INFO | 92245 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 20:59:18,803 | INFO | 92245 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 20:59:18,803 | INFO | 92245 | 8264403008 | __main__ | Testing create operation...
2025-03-13 20:59:18,808 | INFO | 92245 | 8264403008 | repositories | Created dealership: Test Dealership 1741917558.803222 (ID: 2)
2025-03-13 20:59:18,808 | INFO | 92245 | 8264403008 | __main__ | Testing read operation...
2025-03-13 20:59:18,809 | ERROR | 92245 | 8264403008 | __main__ | Error during CRUD tests: Instance <Dealership at 0x106baa390> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:59:18,809 | ERROR | 92245 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:18,809 | INFO | 92245 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:59:34,845 | INFO | 92276 | 8264403008 | root | Log synchronization initialized: PID=92276, Host=Joshs-MacBook-Pro.local
2025-03-13 20:59:34,845 | INFO | 92276 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 20:59:34,852 | INFO | 92276 | 8264403008 | database | Database manager initialized
2025-03-13 20:59:34,854 | INFO | 92276 | 8264403008 | __main__ | Testing database connection...
2025-03-13 20:59:34,854 | INFO | 92276 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:59:34,855 | INFO | 92276 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 20:59:34,855 | INFO | 92276 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 20:59:34,855 | INFO | 92276 | 8264403008 | __main__ | Testing create operation...
2025-03-13 20:59:34,860 | INFO | 92276 | 8264403008 | repositories | Created dealership: Test Dealership 1741917574.855601 (ID: 3)
2025-03-13 20:59:34,860 | INFO | 92276 | 8264403008 | __main__ | Testing read operation...
2025-03-13 20:59:34,862 | INFO | 92276 | 8264403008 | __main__ | Testing update operation...
2025-03-13 20:59:34,863 | ERROR | 92276 | 8264403008 | __main__ | Error during CRUD tests: 'dict' object has no attribute 'is_active'
2025-03-13 20:59:34,863 | ERROR | 92276 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:34,863 | INFO | 92276 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 20:59:44,224 | INFO | 92307 | 8264403008 | root | Log synchronization initialized: PID=92307, Host=Joshs-MacBook-Pro.local
2025-03-13 20:59:44,224 | INFO | 92307 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 20:59:44,230 | INFO | 92307 | 8264403008 | database | Database manager initialized
2025-03-13 20:59:44,231 | INFO | 92307 | 8264403008 | __main__ | Testing database connection...
2025-03-13 20:59:44,231 | INFO | 92307 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 20:59:44,232 | INFO | 92307 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 20:59:44,232 | INFO | 92307 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 20:59:44,232 | INFO | 92307 | 8264403008 | __main__ | Testing create operation...
2025-03-13 20:59:44,236 | INFO | 92307 | 8264403008 | repositories | Created dealership: Test Dealership 1741917584.232053 (ID: 4)
2025-03-13 20:59:44,237 | INFO | 92307 | 8264403008 | __main__ | Testing read operation...
2025-03-13 20:59:44,238 | INFO | 92307 | 8264403008 | __main__ | Testing update operation...
2025-03-13 20:59:44,240 | INFO | 92307 | 8264403008 | __main__ | Testing contact creation...
2025-03-13 20:59:44,242 | INFO | 92307 | 8264403008 | __main__ | Testing job creation...
2025-03-13 20:59:44,243 | INFO | 92307 | 8264403008 | repositories | Created verification job: 1 (job_id: test-job-1741917584)
2025-03-13 20:59:44,253 | ERROR | 92307 | 8264403008 | __main__ | Error during CRUD tests: Instance <VerificationJob at 0x10317a690> is not bound to a Session; attribute refresh operation cannot proceed (Background on this error at: https://sqlalche.me/e/20/bhk3)
2025-03-13 20:59:44,253 | ERROR | 92307 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 20:59:44,253 | INFO | 92307 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:00:08,816 | INFO | 92338 | 8264403008 | root | Log synchronization initialized: PID=92338, Host=Joshs-MacBook-Pro.local
2025-03-13 21:00:08,816 | INFO | 92338 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:00:08,823 | INFO | 92338 | 8264403008 | database | Database manager initialized
2025-03-13 21:00:08,826 | INFO | 92338 | 8264403008 | __main__ | Testing database connection...
2025-03-13 21:00:08,826 | INFO | 92338 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:00:08,827 | INFO | 92338 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 21:00:08,827 | INFO | 92338 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 21:00:08,827 | INFO | 92338 | 8264403008 | __main__ | Testing create operation...
2025-03-13 21:00:08,832 | INFO | 92338 | 8264403008 | repositories | Created dealership: Test Dealership 1741917608.827311 (ID: 5)
2025-03-13 21:00:08,832 | INFO | 92338 | 8264403008 | __main__ | Testing read operation...
2025-03-13 21:00:08,833 | INFO | 92338 | 8264403008 | __main__ | Testing update operation...
2025-03-13 21:00:08,835 | INFO | 92338 | 8264403008 | __main__ | Testing contact creation...
2025-03-13 21:00:08,838 | INFO | 92338 | 8264403008 | __main__ | Testing job creation...
2025-03-13 21:00:08,838 | INFO | 92338 | 8264403008 | repositories | Created verification job: 2 (job_id: test-job-1741917608)
2025-03-13 21:00:08,848 | INFO | 92338 | 8264403008 | __main__ | Testing error logging...
2025-03-13 21:00:08,850 | INFO | 92338 | 8264403008 | __main__ | Cleaning up test data...
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | database | Error in database session: name 'ErrorLog' is not defined
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | __main__ | Error during CRUD tests: name 'ErrorLog' is not defined
2025-03-13 21:00:08,850 | ERROR | 92338 | 8264403008 | __main__ | CRUD tests failed
2025-03-13 21:00:08,850 | INFO | 92338 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:00:17,130 | INFO | 92372 | 8264403008 | root | Log synchronization initialized: PID=92372, Host=Joshs-MacBook-Pro.local
2025-03-13 21:00:17,130 | INFO | 92372 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:00:17,136 | INFO | 92372 | 8264403008 | database | Database manager initialized
2025-03-13 21:00:17,137 | INFO | 92372 | 8264403008 | __main__ | Testing database connection...
2025-03-13 21:00:17,137 | INFO | 92372 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:00:17,138 | INFO | 92372 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 21:00:17,138 | INFO | 92372 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 21:00:17,138 | INFO | 92372 | 8264403008 | __main__ | Testing create operation...
2025-03-13 21:00:17,143 | INFO | 92372 | 8264403008 | repositories | Created dealership: Test Dealership 1741917617.138544 (ID: 6)
2025-03-13 21:00:17,143 | INFO | 92372 | 8264403008 | __main__ | Testing read operation...
2025-03-13 21:00:17,145 | INFO | 92372 | 8264403008 | __main__ | Testing update operation...
2025-03-13 21:00:17,147 | INFO | 92372 | 8264403008 | __main__ | Testing contact creation...
2025-03-13 21:00:17,149 | INFO | 92372 | 8264403008 | __main__ | Testing job creation...
2025-03-13 21:00:17,150 | INFO | 92372 | 8264403008 | repositories | Created verification job: 3 (job_id: test-job-1741917617)
2025-03-13 21:00:17,161 | INFO | 92372 | 8264403008 | __main__ | Testing error logging...
2025-03-13 21:00:17,162 | INFO | 92372 | 8264403008 | __main__ | Cleaning up test data...
2025-03-13 21:00:17,165 | INFO | 92372 | 8264403008 | __main__ | CRUD tests completed successfully
2025-03-13 21:00:17,165 | INFO | 92372 | 8264403008 | __main__ | All database tests passed successfully
2025-03-13 21:00:17,165 | INFO | 92372 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:00:25,659 | INFO | 92403 | 8264403008 | root | Log synchronization initialized: PID=92403, Host=Joshs-MacBook-Pro.local
2025-03-13 21:00:25,659 | INFO | 92403 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:00:25,665 | INFO | 92403 | 8264403008 | database | Database manager initialized
2025-03-13 21:00:25,669 | INFO | 92403 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:00:25,670 | INFO | 92403 | 8264403008 | __main__ | Database connection initialized
2025-03-13 21:00:25,670 | INFO | 92403 | 8264403008 | __main__ | Starting migrate_dealerships_from_csv with args: ('dealership_data.csv',), kwargs: {}
2025-03-13 21:00:25,670 | INFO | 92403 | 8264403008 | __main__ | Migrating dealerships from CSV file: dealership_data.csv
2025-03-13 21:00:25,672 | INFO | 92403 | 8264403008 | __main__ | Found 18 dealerships in CSV file
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Migration completed: 18 dealerships created, 0 dealerships updated
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Completed migrate_dealerships_from_csv in 0.01s
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Starting migrate_verification_results with args: ('results',), kwargs: {}
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Migrating verification results from directory: results
2025-03-13 21:00:25,684 | WARNING | 92403 | 8264403008 | __main__ | No results files found in results
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Completed migrate_verification_results in 0.00s
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Starting migrate_log_files with args: ('logs',), kwargs: {}
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Migrating error logs from directory: logs
2025-03-13 21:00:25,684 | INFO | 92403 | 8264403008 | __main__ | Found 2 log files
2025-03-13 21:00:25,712 | INFO | 92403 | 8264403008 | __main__ | Found 11 error lines in logs/error.log
2025-03-13 21:00:25,712 | INFO | 92403 | 8264403008 | __main__ | Found 11 error lines in logs/app.log
2025-03-13 21:00:25,712 | INFO | 92403 | 8264403008 | __main__ | Migration completed: 0 errors migrated
2025-03-13 21:00:25,712 | INFO | 92403 | 8264403008 | __main__ | Completed migrate_log_files in 0.03s
2025-03-13 21:00:25,712 | INFO | 92403 | 8264403008 | __main__ | Data migration completed successfully
2025-03-13 21:00:25,713 | INFO | 92403 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:19:50,974 | INFO | 93017 | 8264403008 | root | Log synchronization initialized: PID=93017, Host=Joshs-MacBook-Pro.local
2025-03-13 21:19:50,974 | INFO | 93017 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:19:50,988 | INFO | 93017 | 8264403008 | database | Database manager initialized
2025-03-13 21:19:50,988 | INFO | 93017 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | __main__ | Connected to database: sqlite:///dealership_verification.db
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | __main__ | Creating database tables...
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | __main__ | Database tables created successfully
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | __main__ | Database initialization completed successfully
2025-03-13 21:19:50,989 | INFO | 93017 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:19:54,725 | INFO | 93048 | 8264403008 | root | Log synchronization initialized: PID=93048, Host=Joshs-MacBook-Pro.local
2025-03-13 21:19:54,725 | INFO | 93048 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:19:54,730 | INFO | 93048 | 8264403008 | database | Database manager initialized
2025-03-13 21:19:54,732 | INFO | 93048 | 8264403008 | __main__ | Testing database connection...
2025-03-13 21:19:54,732 | INFO | 93048 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:19:54,733 | INFO | 93048 | 8264403008 | __main__ | Successfully connected to database: sqlite:///dealership_verification.db
2025-03-13 21:19:54,733 | INFO | 93048 | 8264403008 | __main__ | Testing CRUD operations...
2025-03-13 21:19:54,733 | INFO | 93048 | 8264403008 | __main__ | Testing create operation...
2025-03-13 21:19:54,738 | INFO | 93048 | 8264403008 | repositories | Created dealership: Test Dealership 1741918794.73322 (ID: 24)
2025-03-13 21:19:54,739 | INFO | 93048 | 8264403008 | __main__ | Testing read operation...
2025-03-13 21:19:54,740 | INFO | 93048 | 8264403008 | __main__ | Testing update operation...
2025-03-13 21:19:54,741 | INFO | 93048 | 8264403008 | __main__ | Testing contact creation...
2025-03-13 21:19:54,744 | INFO | 93048 | 8264403008 | __main__ | Testing job creation...
2025-03-13 21:19:54,745 | INFO | 93048 | 8264403008 | repositories | Created verification job: 3 (job_id: test-job-1741918794)
2025-03-13 21:19:54,755 | INFO | 93048 | 8264403008 | __main__ | Testing error logging...
2025-03-13 21:19:54,757 | INFO | 93048 | 8264403008 | __main__ | Cleaning up test data...
2025-03-13 21:19:54,760 | INFO | 93048 | 8264403008 | __main__ | CRUD tests completed successfully
2025-03-13 21:19:54,760 | INFO | 93048 | 8264403008 | __main__ | All database tests passed successfully
2025-03-13 21:19:54,760 | INFO | 93048 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-13 21:19:59,268 | INFO | 93079 | 8264403008 | root | Log synchronization initialized: PID=93079, Host=Joshs-MacBook-Pro.local
2025-03-13 21:19:59,268 | INFO | 93079 | 8264403008 | database | Initializing database connection to sqlite
2025-03-13 21:19:59,273 | INFO | 93079 | 8264403008 | database | Database manager initialized
2025-03-13 21:19:59,279 | INFO | 93079 | 8264403008 | database | Creating database tables if they don't exist
2025-03-13 21:19:59,280 | INFO | 93079 | 8264403008 | __main__ | Database connection initialized
2025-03-13 21:19:59,280 | INFO | 93079 | 8264403008 | __main__ | Starting migrate_dealerships_from_csv with args: ('dealership_data.csv',), kwargs: {}
2025-03-13 21:19:59,280 | INFO | 93079 | 8264403008 | __main__ | Migrating dealerships from CSV file: dealership_data.csv
2025-03-13 21:19:59,285 | INFO | 93079 | 8264403008 | __main__ | Found 18 dealerships in CSV file
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Migration completed: 0 dealerships created, 18 dealerships updated
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Completed migrate_dealerships_from_csv in 0.02s
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Starting migrate_verification_results with args: ('results',), kwargs: {}
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Migrating verification results from directory: results
2025-03-13 21:19:59,297 | WARNING | 93079 | 8264403008 | __main__ | No results files found in results
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Completed migrate_verification_results in 0.00s
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Starting migrate_log_files with args: ('logs',), kwargs: {}
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Migrating error logs from directory: logs
2025-03-13 21:19:59,297 | INFO | 93079 | 8264403008 | __main__ | Found 2 log files
2025-03-13 21:19:59,313 | INFO | 93079 | 8264403008 | __main__ | Found 11 error lines in logs/error.log
2025-03-13 21:19:59,313 | INFO | 93079 | 8264403008 | __main__ | Found 11 error lines in logs/app.log
2025-03-13 21:19:59,314 | INFO | 93079 | 8264403008 | __main__ | Migration completed: 0 errors migrated
2025-03-13 21:19:59,314 | INFO | 93079 | 8264403008 | __main__ | Completed migrate_log_files in 0.02s
2025-03-13 21:19:59,314 | INFO | 93079 | 8264403008 | __main__ | Data migration completed successfully
2025-03-13 21:19:59,314 | INFO | 93079 | 8264403008 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 14:26:27,819 | INFO | 47854 | 8526678080 | root | Log synchronization initialized: PID=47854, Host=Joshs-MacBook-Pro.local
2025-03-16 14:26:28,522 | INFO | 47854 | 8526678080 | database | Initializing database connection to sqlite
2025-03-16 14:26:28,550 | INFO | 47854 | 8526678080 | database | Database manager initialized
2025-03-16 14:26:28,551 | INFO | 47854 | 8526678080 | database | Creating database tables if they don't exist
2025-03-16 14:26:28,552 | INFO | 47854 | 8526678080 | database | Creating database tables if they don't exist
2025-03-16 14:26:28,583 | INFO | 47854 | 8526678080 | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.198:5000
2025-03-16 14:26:28,583 | INFO | 47854 | 8526678080 | werkzeug | [33mPress CTRL+C to quit[0m
2025-03-16 20:55:33,001 | INFO | 19352 | 8526678080 | root | Log synchronization initialized: PID=19352, Host=Joshs-MacBook-Pro.local
2025-03-16 20:55:33,019 | INFO | 19352 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 20:55:33,177 | INFO | 19352 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:55:33,321 | INFO | 19352 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:55:33,359 | INFO | 19352 | 8526678080 | WDM | There is no [mac64] chromedriver "134.0.6998.88" for browser google-chrome "134.0.6998" in cache
2025-03-16 20:55:33,364 | INFO | 19352 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:55:33,527 | INFO | 19352 | 8526678080 | WDM | WebDriver version 134.0.6998.88 selected
2025-03-16 20:55:33,529 | INFO | 19352 | 8526678080 | WDM | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/134.0.6998.88/mac-arm64/chromedriver-mac-arm64.zip
2025-03-16 20:55:33,529 | INFO | 19352 | 8526678080 | WDM | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/134.0.6998.88/mac-arm64/chromedriver-mac-arm64.zip
2025-03-16 20:55:33,652 | INFO | 19352 | 8526678080 | WDM | Driver downloading response is 200
2025-03-16 20:55:33,901 | INFO | 19352 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:55:34,014 | INFO | 19352 | 8526678080 | WDM | Driver has been saved in cache [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88]
2025-03-16 20:55:34,018 | INFO | 19352 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 20:56:13,268 | INFO | 19798 | 8526678080 | root | Log synchronization initialized: PID=19798, Host=Joshs-MacBook-Pro.local
2025-03-16 20:56:13,280 | INFO | 19798 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 20:56:13,381 | INFO | 19798 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:56:13,468 | INFO | 19798 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 20:56:13,501 | INFO | 19798 | 8526678080 | WDM | Driver [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver] found in cache
2025-03-16 20:56:13,503 | INFO | 19798 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 21:00:16,481 | INFO | 22561 | 8526678080 | root | Log synchronization initialized: PID=22561, Host=Joshs-MacBook-Pro.local
2025-03-16 21:00:16,492 | INFO | 22561 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 21:00:16,980 | INFO | 22561 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:00:17,099 | INFO | 22561 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:00:17,135 | INFO | 22561 | 8526678080 | WDM | Driver [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver] found in cache
2025-03-16 21:00:17,138 | INFO | 22561 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 21:33:26,024 | INFO | 42677 | 8526678080 | root | Log synchronization initialized: PID=42677, Host=Joshs-MacBook-Pro.local
2025-03-16 21:33:26,025 | INFO | 42677 | 8526678080 | root | Debug mode enabled
2025-03-16 21:33:26,025 | INFO | 42677 | 8526678080 | debug_helper | Created debug directory: debug_output
2025-03-16 21:33:26,025 | INFO | 42677 | 8526678080 | verification_test | Testing enhanced extraction on: https://your-test-dealership.com
2025-03-16 21:33:26,043 | INFO | 42677 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 21:33:26,507 | INFO | 42677 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:33:26,634 | INFO | 42677 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:33:26,672 | INFO | 42677 | 8526678080 | WDM | Driver [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver] found in cache
2025-03-16 21:33:26,675 | ERROR | 42677 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:33:26,675 | INFO | 42677 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 21:33:41,591 | INFO | 42874 | 8526678080 | root | Log synchronization initialized: PID=42874, Host=Joshs-MacBook-Pro.local
2025-03-16 21:33:41,592 | INFO | 42874 | 8526678080 | root | Debug mode enabled
2025-03-16 21:33:41,592 | INFO | 42874 | 8526678080 | verification_test | Testing enhanced extraction on: https://www.legendstoyota.com
2025-03-16 21:33:41,602 | INFO | 42874 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 21:33:41,706 | INFO | 42874 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:33:41,759 | INFO | 42874 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:33:41,793 | INFO | 42874 | 8526678080 | WDM | Driver [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver] found in cache
2025-03-16 21:33:41,797 | ERROR | 42874 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:33:41,798 | INFO | 42874 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 21:34:20,480 | INFO | 43293 | 8526678080 | root | Log synchronization initialized: PID=43293, Host=Joshs-MacBook-Pro.local
2025-03-16 21:34:20,483 | INFO | 43293 | 8526678080 | root | Debug mode enabled
2025-03-16 21:34:20,483 | INFO | 43293 | 8526678080 | verification_test | Testing enhanced extraction on: https://www.legendstoyota.com
2025-03-16 21:34:20,496 | INFO | 43293 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 21:34:20,626 | INFO | 43293 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:34:20,682 | INFO | 43293 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:34:20,717 | INFO | 43293 | 8526678080 | WDM | Driver [/Users/copp1723/.wdm/drivers/chromedriver/mac64/134.0.6998.88/chromedriver-mac-arm64/THIRD_PARTY_NOTICES.chromedriver] found in cache
2025-03-16 21:34:20,719 | ERROR | 43293 | 8526678080 | verification_test | Error during extraction test: 'ContactExtractor' object has no attribute 'extraction_id'
2025-03-16 21:34:20,720 | INFO | 43293 | 8526678080 | root | Log synchronizer shutting down, processing remaining logs...
2025-03-16 21:34:27,459 | INFO | 43382 | 8526678080 | root | Log synchronization initialized: PID=43382, Host=Joshs-MacBook-Pro.local
2025-03-16 21:34:27,470 | INFO | 43382 | 8526678080 | WDM | ====== WebDriver manager ======
2025-03-16 21:34:27,976 | INFO | 43382 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
2025-03-16 21:34:28,030 | INFO | 43382 | 8526678080 | WDM | Get LATEST chromedriver version for google-chrome
