Dealership,Address,City,State,Zip,Website
"CHAMPION OF DECATUR, INC.",3831 US HIGHWAY 31 S,DECATUR,AL,35603,www.championofdecatur.com
CHATOM FORD,HIGHWAY 17 NORTH,CHATOM,AL,36518,chatomford.com
"CHATOM MOTOR CO., INC",16835 JORDAN ST,CHATOM,AL,36518,chatommotorcompany.com
"CHEVROLET OF BOAZ, INC.",1134 HWY 431,BOAZ,AL,35957,Chevroletofboaz.com
CHRIS MYERS BUICK GMC,27161 HWY 98,DAPHNE,AL,36526,chrismyersbpg.com
CHRIS MYERS CHRYSLER JEEP DODGE,27161 HIGHWAY 98,DAPHNE,AL,36526,www.chrismyersdodgechryslerjeep.com/
CHRISH MYERS NISSAN,29788 FREDERICK BLVD,DAPHNE,AL,36526,www.chrismyersnissan.com
"CHUCK STEVENS AUTOMOTIVE, INC.",1304 HIGHWAY 31 SOUTH,BAY MINETTE,AL,36507,chuckstevensford.net
"CHUCK STEVENS CHEVROLET OF ATMORE, INC.",406 E NASHVILLE AVE,ATMORE,AL,36502,chuckstevensatmore.com
"CHUCK STEVENS CHEVROLET OF BAY MINETTE, INC.",2427 HWY 31 S,BAY MINETTE,AL,36507,chuckstevensofbayminette.com
CHUCK STEVENS DODGE CHRYSLER JEEP,400 S US HIGHWAY 31,BAY MINETTE,AL,36507,chuckstevensdodgechryslerjeep.com
CLASSIC BUICK GMC,833 EASTERN BOULEVARD,MONTGOMERY,AL,36117,classic-montgomery.net
CLASSIC CADILLAC,833 EASTERN BOULEVARD,MONTGOMERY,AL,36117,cadillacofmontgomery.com
CLASSIC SUZUKI,9008 PARKWAY E,BIRMINGHAM,AL,35206,www.classicsuzukibham.com
CLAY CHEVROLET,86635 HWY 9,LINEVILLE,AL,36266,clayautomotive.net
CLAY COUNTY CHRYSLER DODGE JEEP OF LINEVILLE,86635 HIGHWAY 9,LINEVILLE,AL,36266,www.claycountycdj.com
COLLIER FORD INC,5156 US HIGHWAY 231,WETUMPKA,AL,36092,collierfordinc.com
CONTEMPORARY MITSUBISHI,100 15TH ST E,TUSCALOOSA,AL,35401,www.contemporarymitsubishi.com
"COOK CHEVROLET, INC.",610 N TROY RD,ELBA,AL,36323,mycookchevy.com
COOPER CHEVROLET BUICK,1300 S QUINTARD,ANNISTON,AL,36201,cooperchevrolet.com
COURTESY BUICK GMC INC,1857 EDWARDS LAKE RD,BIRMINGHAM,AL,35235,courtesybirmingham.com
"COURTESY BUICK GMC, INC.",1857 EDWARDS LAKE RD,BIRMINGHAM,AL,35235,courtesybirmingham.com
CROWN AUTOMOBILE,1800 MONTGOMERY HWY S,BIRMINGHAM,AL,35244,www.crownautomobile.com
CROWN NISSAN,1640 MONTGOMERY HWY,BIRMINGHAM,AL,35216,www.shopcrown.com
CULLMAN DODGE CHRYSLER JEEP RAM,1302 2ND AVE SW,CULLMAN,AL,35055,www.cullmandc.com
DAVE MENEGAY HYUNDAI,626 W GRAND AVE,RAINBOW CITY,AL,35906,www.davemenegayhyundai.com
DEAN MCCRARY AUDI PORSCHE,1525 E I65 SERVICE RD S,MOBILE,AL,36606,www.deanmccrary.com
DEAN MCCRARY KIA,1525 E I65 SERVICE RD S,MOBILE,AL,36606,www.deanmccrarykia.com
DEAN MCCRARY MAZDA,1525 E I65 SERVICE RD S,MOBILE,AL,36606,www.deanmccrarymazda.com
DEAN MCCRARY VOLKSWAGEN,1525 E I65 SERVICE RD S,MOBILE,AL,36606,www.volkswagenofmobile.com
DEVAN LOWE,1107 GAULT AVE S,FORT PAYNE,AL,35967,www.devanlowe.net
"DEWEY BARBER CHEVROLET, INC.",90 BARBER BLVD,GARDENDALE,AL,35071,deweybarber.com
DOC'S CHEVROLET BUICK GMC,34460 HWY 43 N,THOMASVILLE,AL,36784,buyatdocs.com
DONOHOO CHEVROLET,1000 GREENHILL BLVD NW,FORT PAYNE,AL,35967,donohooChevrolet.com
DOTHAN CHRYSLER DODGE,4074 ROSS CLARK CIR,DOTHAN,AL,36303,www.dothanchryslerdodge.net
DOTHAN CHRYSLER DODGE KIA,4074 ROSS CLARK CIR,DOTHAN,AL,36303,www.dothankia.net
EASTERN SHORE TOYOTA,"29732 FREDERICK BLVD.,",DAPHNE,AL,36526,easternshoretoyota.com
"ECKENROD FORD LINCOLN OF CULLMAN, INC.",5255 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,eckenrodford.net
ED SHERLING FORD INC,805 GLOVER AVENUE,ENTERPRISE,AL,36330,edsherlingford.com
"EDDIE PREUITT FORD, INC.",710 HIGHWAY 31 NORTH,HARTSELLE,AL,35640,eddiepreuitt.com
"EDWARDS CHEVROLET - 280, INC.",5499 HIGHWAY 280 EAST,BIRMINGHAM,AL,35242,edwards280.com
"EDWARDS CHEVROLET CO., INC.",1400 THIRD AVE N,BIRMINGHAM,AL,35203,downtown.chevyman.com
"ENTERPRISE CHEVROLET, INC.",1001 RUCKER BLVD,ENTERPRISE,AL,36330,enterprisechevy.com
"ERNEST MCCARTY FORD, INC.",1471 FIRST STREET NORTH,ALABASTER,AL,35007,mccartyford.com
"FIKES CHEVROLET, INC.",771 MILITARY ST N,HAMILTON,AL,35570,fikeschevy.com
FREEWAY HONDA,1813 ENSLEY AVE,BIRMINGHAM,AL,35218,freewayhondaal.com
"GILBERT & BAUGH FORD, INC.",10195 HIGHWAY 431 NORTH,ALBERTVILLE,AL,35950,gilbertbaughford.com
GILLAND CHEVROLET GMC,3071 SOUTH US HWY 231,OZARK,AL,36360,gillandChevrolet.com
GILLAND FORD,3118 SOUTH US HIGHWAY 231,OZARK,AL,36360,gillandfordozark.com
GLYNN SMITH CHEVROLET BUICK GMC,600 COLUMBUS PWY,OPELIKA,AL,36801,glynnsmithchevy.com
GREATER MOBILE CHRYSLER JEEP,3016 GOVERNMENT BLVD,MOBILE,AL,36606,www.greatermobilechryslerjeep.net
GREENVILLE CHEVROLET,169 INTERSTATE DR.,GREENVILLE,AL,36037,greenvillechevrolet.com
GREENWAY TOYOTA OF THE SHOALS,"5100 HIGHWAY 43 SOUTH,",TUSCUMBIA,AL,35674,toyotaoftheshoals.com
GULF CHRYSLER DODGE JEEP,3781 S MCKENZIE ST,FOLEY,AL,36535,www.gulfchryslerdodgejeep.net
"HARBIN CHEVROLET, LLC",570 MICAH WAY,SCOTTSBORO,AL,35769,harbinChevrolet.com
"HARBIN MOTOR COMPANY, INC.",564 MICAH WAY,SCOTTSBORO,AL,35769,harbinfordscottsboro.com
HENDRICK CHEVROLET,1620 MONTGOMERY HWY,HOOVER,AL,35216,hendrickChevroletbirmingham.com
HIGH COUNTRY TOYOTA,"3011 SOUTH BROAD STREET,",SCOTTSBORO,AL,35769,highcountrytoyota.com
HIGHWAY 280 NISSAN,39275 US HIGHWAY 280,SYLACAUGA,AL,35150,www.hwy280nissan.com
HILEY MAZDA OF HUNTSVILLE,6555 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,www.hileymazdahuntsville.com
HILEY VOLKSWAGON AUDI,6561 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,www.vwaudihuntsville.com
HONDA OF JASPER,4102 HIGHWAY 78 E,JASPER,AL,35501,hondaofjasper.com
HOOVER TOYOTA,"2686 HIGHWAY 150,",HOOVER,AL,35244,hoovertoyota.com
HOWARD BENTLEY BUICK GMC INC,4321 US HWY 431,ALBERTVILLE,AL,35950,howardbentleyauto.com
"HOWARD BENTLEY BUICK GMC, INC.",4321 US HWY 431,ALBERTVILLE,AL,35950,howardbentleyauto.com
HYUNDAI OF AUBURN,645 OPELIKA RD,AUBURN,AL,36830,www.hyundaiofauburn.com
HYUNDAI OF JASPER,4011 HIGHWAY 78 E,JASPER,AL,35501,www.hyundaiofjasper.com
INFINITI OF HUNTSVILLE,1010 OLD MONROVIA RD NW,HUNTSVILLE,AL,35806,www.infinitiofhuntsville.com
INFINITI OF MOBILE,1147 E I65 SERVICE RD S,MOBILE,AL,36606,www.infinitiofmobilespecials.com
IRON CITY FORD,9924 PARKWAY EAST,BIRMINGHAM,AL,35215,ironcityford.net
J. M. JACKSON CHEVROLET BUICK,18996 US HIGHWAY 84,ANDALUSIA,AL,36421,jmjacksonchevy.com
JACK INGRAM MERCEDES BENZ,217 EASTERN BLVD,MONTGOMERY,AL,36117,www.jackingram.com
JACK INGRAM MOTORS,227 EASTERN BLVD,MONTGOMERY,AL,36117,www.jackingram.com
JACK INGRAM MOTORS,231 EASTERN BLVD,MONTGOMERY,AL,36117,jack-ingram.porschedealer.com
JACK INGRAM NISSAN,227 EASTERN BLVD,MONTGOMERY,AL,36117,www.jackingram.com
JACK INGRAM VOLVO,227 EASTERN BLVD,MONTGOMERY,AL,36117,www.jackingramvolvo.com
JAGUAR HUNTSVILLE,3800 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,www.centuryjaguarhuntsville.com
JAGUAR LAND ROVER GULF COAST LLC,1151 E I65 SERVICE RD S,MOBILE,AL,36606,www.jaguargulfcoast.com
JERRY DAMSON ACURA,2402 LEEMAN FERRY RD SW,HUNTSVILLE,AL,35801-5609,jerrydamsonacura.com
JERRY DAMSON FORD,810 NORTH BRINDLEE MOUNTAIN PARKWAY,ARAB,AL,35016,jerrydamsonford.com
JERRY DAMSON HONDA,2200 BOB WALLACE AVE SW,HUNTSVILLE,AL,35805,jerrydamsonhonda.com
JIM BURKE DODGE CHRYSLER JEEP,1409 5TH AVE N,BIRMINGHAM,AL,35203,www.jimburkedodgechryslerjeep.com
JIM BURKE HYUNDAI,1424 5TH AVE N,BIRMINGHAM,AL,35203,jimburkebirminghamhyundai.com
JIM BURKE NISSAN,1300 3RD AVE N,BIRMINGHAM,AL,35203,jimburkenissancars.com
JIM BURKE USED CARS,1409 5TH AVE N,BIRMINGHAM,AL,35203,jimburke.com
JIM COOK FORD,620 NORTH TROY ROAD,ELBA,AL,36323,jimcookfordinc.com
JIM PEACH MOTORS,1313 GRANTS MILL WAY,BIRMINGHAM,AL,35210,www.benchmarkcjd.com
JIMMY SMITH BUICK-GMC,24450 HIGHWAY 72,ATHENS,AL,35613,jimmysmithbuickgmc.com
JOE BULLARD ACURA,1151 EAST I-65 SERVICE,MOBILE,AL,36606,joebullardacura.com
"JOE BULLARD CADILLAC, LLC",1419 E I65 SERVICE ROAD SOUTH,MOBILE,AL,36606,joebullardcadillac.com
JOE BULLARD FORD LINCOLN,19684 HIGHWAY 43 NORTH,GROVE HILL,AL,36451,joebullardford.com
JOE BULLARD MITSUBISHI,1419 E I65 SERVICE RD S,MOBILE,AL,36606,www.bullardmitsubishi.com
"JOE V. CLAYTON CHEVROLET, INC.",327 N BRINDLEE-MOUNTAIN PARKWAY,ARAB,AL,35016,joevclaytonchevrolet.net
"JOHN CARPENTER FORD, INC.",14591 COURT STREET,MOULTON,AL,35650,johncarpenterford.net
"JOHNSON FORD, INC.",1828 SOUTH MAIN STREET,ATMORE,AL,36502,jjohnsonford.com
KIA STORE ANNISTON - OXFORD,1401 S QUINTARD AVE,ANNISTON,AL,36201,www.mykiastore.com
KING ACURA,1687 MONTGOMERY HWY,VESTAVIA HILLS,AL,35216-4905,kingacura.com
KING CHEVROLET,611 FOB JAMES DR,VALLEY,AL,36854,kingchevy.net
KING CHRYSLER DODGE,615 FOB JAMES DR,VALLEY,AL,36854,www.kingchryslerdodge.net
KING FORD LINCOLN,615 FOB JAMES DRIVE,VALLEY,AL,36854,kingwillsaveumoney.com
KING HONDA CAR WORLD,973 OPELIKA RD,AUBURN,AL,36830,kinghondaauburn.com
KOBY SUBARU,1431 E I65 SERVICE RD S,MOBILE,AL,36606,kobysubaru.com
LAND ROVER BIRMINGHAM,3000 TOM WILLIAMS WAY,BIRMINGHAM,AL,35210,http://www.birminghamlandrover.com/dealership/staff.htm
LAND ROVER HUNTSVILLE,3000 TOM WILLIAMS WAY,BIRMINGHAM,AL,35816,www.centuryauto.com
LAND ROVER HUNTSVILLE,3800 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,www.centuryauto.com
LANDERS MCLARTY,6533 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,www.landersmclartydodgechryslerjeepalabama.com
LANDERS MCLARTY CHEVROLET,4930 UNIVERSITY DR,HUNTSVILLE,AL,35816,landersmclartygm.com
LANDERS MCLARTY DODGE CHRYSLER JEEP,6533 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,landersmclartydcjal.com
LANDERS MCLARTY DODGE CHRYSLER JEEP RAM,5080 ACADEMY LN,BESSEMER,AL,35022,www.landersmclartydodgechryslerjeep.net
LANDERS MCLARTY FORD OF FORT PAYNE,1916 GLENN BOULEVARD SW,FORT PAYNE,AL,35968,landersmclartyfordfortpayne.net
LANDERS MCLARTY NISSAN HUNTSVILLE,6520 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,landersmclartynissanhuntsville.com
LANDERS MCLARTY SUBARU,5790 UNIVERSITY DR NW,HUNTSVILLE,AL,35816,www.landersmclartysubaru.com/index.htm
LANDERS MCLARTY SUBARU,6533 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,www.landersmclartysubaru.com
LANGLEY MOTOR CO INC,701 N LANIER AVE,LANETT,AL,36863,langleygm.com
"LANGLEY MOTOR CO., INC.",701 N LANIER AVE,LANETT,AL,36863,langleygm.com
"LARRY PUCKETT CHEVROLET, INC.",2101 COBBS FORD RD,PRATTVILLE,AL,36066,larrypuckett.com
LEE MOTOR COMPANY INC,31 S ALABAMA AVE,MONROEVILLE,AL,36460,leemotorcompany.com
"LEE MOTOR COMPANY, INC.",31 S ALABAMA AVE,MONROEVILLE,AL,36460,leemotorcompany.com
"LEIGH AUTOMOTIVE, INC.",3200 SKYLAND BLVD E,TUSCALOOSA,AL,35405,mercedesoftuscaloosa.com
LEXUS OF HUNTSVILLE,6580 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,lexusofhuntsville.com
LEXUS OF MOBILE,3040 GOVERNMENT BLVD,MOBILE,AL,36606,www.lexusofmobile.com
LIMBAUGH TOYOTA,"2200 AVENUE T,",BIRMINGHAM,AL,35218,limbaughtoyota.com
LOCKLEAR CHRYSLER JEEP DODGE,550 SKYLAND BLVD E,TUSCALOOSA,AL,35405,www.locklearcars.com
LOCKLEAR COLLISION CENTER,550 SKYLAND BLVD E,TUSCALOOSA,AL,35405,bodyshop@locklearcars.com
LOCKLEAR KIA,550 SKYLAND BLVD E,TUSCALOOSA,AL,35405,www.locklearkia.com
LONG LEWIS SUZUKI,2800 WOODWARD AVE,MUSCLE SHOALS,AL,35661,longlewissuzuki.com
LONG-LEWIS FORD LINCOLN,2551 JOHN HAWKINS PARKWAY,HOOVER,AL,35244,longlewis.com
LONG-LEWIS FORD LINCOLN,2800 WOODWARD AVENUE,MUSCLE SHOALS,AL,35661,longlewisford.net
"LONG-LEWIS OF THE RIVER REGION, INC.",2091 HIGHWAY 14 EAST,PRATTVILLE,AL,36066,longlewisriverregionford.com
LOWE CADILLAC BUICK GMC,801 W GRAND AVE,RAINBOW CITY,AL,35906,devanloweinc.com
LOWERY BROTHERS MOTORS,PO BOX 51,BOAZ,AL,35957,lowerybrothersmotorsinc.com
LYNCH CADILLAC OF AUBURN,154 WEST CREEK PKWY,AUBURN,AL,36830,lynchcadillac.com
LYNCH CHEVROLET OF AUBURN,154 WEST CREEK PKWY,AUBURN,AL,36830,lynchchevroletcadillacofauburn.com
LYNCH NISSAN,336 COUNTY ROAD 674,AUBURN,AL,36830,www.lynchnissanofauburn.com
LYNN LAYTON CADILLAC,2402 S HWY 31,DECATUR,AL,35601,seminolecadillac.com
"LYNN LAYTON CHEVROLET, INC.",2416 HWY 31 S,DECATUR,AL,35601,lynnlaytonChevrolet.com
"LYNN LAYTON FORD, INC.",3300 6TH AVENUE SE,DECATUR,AL,35603,lynnlaytonford.com
LYNN LAYTON NISSAN,2402 HIGHWAY 31 S,DECATUR,AL,35601,www.lynnlaytonnissan.com
MAJOR MOTORS OF ARAB INC,501 N BRINDLEE MOUNTAIN PKWY,ARAB,AL,35016,majormotors.com
MARK DODGE,3118 GOVERNMENT BLVD,MOBILE,AL,36606,www.markdodgealabama.com
MASSEY AUTOMOTIVE,600 W BYPASS,ANDALUSIA,AL,36420,www.masseyandalusia.com
"MASSEY AUTOMOTIVE, INC.",600 W BYPASS,ANDALUSIA,AL,36420,www.masseyandalusia.com/
MASSEY CHRYSLER CENTER,602 W BYPASS,ANDALUSIA,AL,36420,www.masseychryslercenter.com
MAX MOTORSPORTS,400 KEYSTONE CT,PELHAM,AL,35124,www.maxmotorsports.net
MAZDA OF DOTHAN,2309 ROSS CLARK CIR,DOTHAN,AL,36301,www.mazdaofdothan.com
MAZDA OF DOTHAN,901 SOUTH OATES ST,DOTHAN,AL,36301,http://www.mazdadothan.com/
MCCLARY FORD,1104 HIGHWAY 72 EAST,ATHENS,AL,35611,mcclaryforddirect.net
MCCONNELL ACURA,2860 EASTERN BLVD,MONTGOMERY,AL,36116-1022,mcconnellacura.com
MCCONNELL AUTOMOTIVE CORPORATION,3150 DAUPHIN ST,MOBILE,AL,36606,mcconnellautomotive.com
MCCONNELL HONDA,2840 EASTERN BLVD,MONTGOMERY,AL,36116,mcconnellhonda.com
"MCGRAW-WEBB CHEVROLET, INC.",29 CAMDEN BY-PASS,CAMDEN,AL,36726,mcgrawwebbChevrolet.net
MCKELVEY CHEVROLET CORPORATION,17488 HWY 280,DADEVILLE,AL,36853,mckelveychevrolet.com
MCKINNON TOYOTA,"235 PRICE DRIVE,",CLANTON,AL,35046,mckinnontoyota.com
MED CENTER MAZDA,80 DRIVERS WAY,PELHAM,AL,35124,medcentermazda.com
MERCEDES - BENZ OF HUNTSVILLE,6520 UNIVERSITY DR NW,HUNTSVILLE,AL,35806,mercedesbenzofhuntsville.com
MERCEDES - BENZ OF MOBILE,3060 DAUPHIN ST,MOBILE,AL,36606,www.mbofmobile.com
"MIKE FREEMAN CHEVROLET, INC.",2352 TEMPLE AVE N,FAYETTE,AL,35555,mikefreeman.com
MIKE FREEMAN FORD,2024 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,mikefreemanford.net
